Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28001 Acebeda, La;De 0 a 4 años;1 de enero de 2021;0
Total;28 Madrid;28001 Acebeda, La;De 5 a 9 años;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 10 a 14 años  ;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 15 a 19 años  ;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 20 a 24 años;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 25 a 29 años;1 de enero de 2021;0
Total;28 Madrid;28001 Acebeda, La;De 30 a 34 años;1 de enero de 2021;2
Total;28 Madrid;28001 Acebeda, La;De 35 a 39 años;1 de enero de 2021;2
Total;28 Madrid;28001 Acebeda, La;De 40 a 44 años;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 45 a 49 años;1 de enero de 2021;4
Total;28 Madrid;28001 Acebeda, La;De 50 a 54 años;1 de enero de 2021;4
Total;28 Madrid;28001 Acebeda, La;De 55 a 59 años;1 de enero de 2021;4
Total;28 Madrid;28001 Acebeda, La;De 60 a 64 años;1 de enero de 2021;7
Total;28 Madrid;28001 Acebeda, La;De 65 a 69 años;1 de enero de 2021;10
Total;28 Madrid;28001 Acebeda, La;De 70 a 74 años  ;1 de enero de 2021;8
Total;28 Madrid;28001 Acebeda, La;De 75 a 79 años  ;1 de enero de 2021;2
Total;28 Madrid;28001 Acebeda, La;De 80 a 84 años  ;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 85 a 89 años  ;1 de enero de 2021;4
Total;28 Madrid;28001 Acebeda, La;De 90 a 94 años  ;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28001 Acebeda, La;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28003 Alameda del Valle;De 0 a 4 años;1 de enero de 2021;8
Total;28 Madrid;28003 Alameda del Valle;De 5 a 9 años;1 de enero de 2021;14
Total;28 Madrid;28003 Alameda del Valle;De 10 a 14 años  ;1 de enero de 2021;9
Total;28 Madrid;28003 Alameda del Valle;De 15 a 19 años  ;1 de enero de 2021;8
Total;28 Madrid;28003 Alameda del Valle;De 20 a 24 años;1 de enero de 2021;6
Total;28 Madrid;28003 Alameda del Valle;De 25 a 29 años;1 de enero de 2021;6
Total;28 Madrid;28003 Alameda del Valle;De 30 a 34 años;1 de enero de 2021;10
Total;28 Madrid;28003 Alameda del Valle;De 35 a 39 años;1 de enero de 2021;11
Total;28 Madrid;28003 Alameda del Valle;De 40 a 44 años;1 de enero de 2021;21
Total;28 Madrid;28003 Alameda del Valle;De 45 a 49 años;1 de enero de 2021;17
Total;28 Madrid;28003 Alameda del Valle;De 50 a 54 años;1 de enero de 2021;31
Total;28 Madrid;28003 Alameda del Valle;De 55 a 59 años;1 de enero de 2021;29
